Timesteps,Average Return,Standard Error
454000,-823.256578146245,6.470916156153483
456000,-822.1175653358275,6.5153517600915665
458000,-821.9431357619437,6.497587540308051
460000,-823.4873556515704,6.517067365840707
462000,-825.074787779273,6.395053524711074
464000,-824.1405361850987,6.398102353739275
466000,-823.7814227816539,6.357467907328824
468000,-822.8909831792047,6.0387913252871375
470000,-825.7227059383051,6.4350149563744266
472000,-826.8243790931685,6.339227021482086
474000,-827.7102677233186,6.30004310509712
476000,-826.9695499640153,6.342598670746642
478000,-825.6140090007897,6.243924846308346
480000,-825.8108401120229,6.272440856506596
482000,-826.0592919712642,6.261594188288986
484000,-826.158360579476,6.2694961868756485
486000,-826.013663443956,6.3001421964373145
488000,-825.5933313621749,6.248295805355857
490000,-828.625100801758,5.924668095044215
492000,-828.6024174891032,5.92234519131245
494000,-827.8271800732357,5.707648335043563
496000,-828.3548894693026,5.654314054652423
498000,-829.0586715447447,5.648870728352948
500000,-828.5648859618805,5.646418960284688
502000,-825.4775435909023,5.822912010146407
504000,-823.3960541598291,5.8986906533234045
506000,-823.4345733108686,6.001733612581495
508000,-823.7771188697384,5.992435035134676
510000,-824.5238271496963,5.985533515441275
512000,-826.0456724871686,6.069684641020892
514000,-825.831969723962,5.958255933690717
516000,-824.9322144696121,5.957330951342086
518000,-827.2760781053594,6.325127892172824
520000,-827.349439475877,6.364594146055259
522000,-827.2458062151666,6.345116847262095
524000,-825.9886666372728,6.360742773989717
526000,-823.9898358671979,6.433345008462696
528000,-824.8572628694618,6.334401330110971
530000,-826.5337758081811,6.284474165666637
532000,-826.9433921986977,6.256462522702455
534000,-830.3476288338283,5.938231414225369
536000,-830.9190859934561,5.940147642816268
538000,-832.7666024944249,5.97598503388013
540000,-834.185339288298,5.873089187024068
542000,-833.606328843941,5.877807228527627
544000,-833.7918936309944,5.876144173875541
546000,-834.0863412275354,6.01053861472743
548000,-833.6681408044019,6.001507800878595
550000,-832.5492010100405,6.0105125814530025
552000,-831.6024523657409,6.043843096721874
