Steps,Average Return,Standard Error
517000,567.16,36.61
518000,547.88,34.72
519000,561.31,34.78
520000,563.13,34.74
521000,574.46,35.94
522000,572.38,37.29
523000,573.33,38.33
524000,586.93,41.14
525000,597.05,41.46
526000,575.07,38.56
527000,555.38,39.43
528000,538.66,39.67
529000,352.48,38.19
530000,232.18,37.06
531000,213.26,36.66
532000,203.78,33.61
533000,199.54,33.03
534000,214.68,34.09
535000,205.59,30.88
536000,214.81,31.23
537000,234.57,35.48
538000,245.2,38.38
539000,249.55,38.6
540000,274.78,46.14
541000,277.27,46.17
542000,299.93,48.77
543000,308.91,49.89
544000,328.91,51.84
545000,336.38,54.07
546000,358.65,54.98
547000,377.77,55.21
548000,403.11,56.13
549000,432.85,56.54
550000,451.03,57.4
551000,474.68,59.99
552000,487.86,59.82
553000,503.25,59.04
554000,512.86,58.5
555000,523.82,57.96
556000,547.1,57.86
557000,572.02,57.83
558000,588.24,56.71
559000,576.45,56.89
560000,536.26,56.84
561000,498.58,55.03
562000,417.35,46.87
563000,410.66,46.23
564000,390.69,42.06
565000,406.41,42.41
566000,392.15,41.79
567000,378.02,40.5
568000,374.34,40.43
569000,369.31,43.78
570000,375.23,44.22
571000,403.06,45.74
572000,420.42,46.19
573000,421.0,46.79
574000,392.45,44.69
575000,420.69,46.23
576000,434.46,46.92
577000,454.72,47.29
578000,465.24,48.28
579000,480.97,48.46
580000,494.11,47.71
581000,518.6,49.74
582000,520.76,50.36
583000,535.34,50.63
584000,550.38,51.64
585000,547.28,51.33
586000,551.61,52.06
587000,524.95,52.73
588000,496.17,46.55
589000,474.77,46.48
590000,431.8,45.02
591000,435.51,44.09
592000,448.24,43.99
593000,435.01,42.91
594000,410.66,42.94
595000,385.31,41.22
596000,395.23,41.99
597000,370.63,38.81
598000,367.78,37.7
599000,344.35,34.46
600000,291.83,32.18
601000,280.92,28.2
602000,300.49,29.36
603000,315.78,30.34
604000,326.69,31.2
605000,338.5,32.06
606000,347.68,32.67
607000,354.09,33.32
608000,358.08,33.94
609000,351.83,32.14
610000,355.57,32.28
611000,376.46,32.11
612000,383.83,32.59
613000,387.6,32.97
614000,381.96,32.56
615000,364.72,34.02
616000,373.2,36.11
617000,388.56,35.72
618000,408.27,35.04
619000,399.8,35.46
620000,388.89,35.46
621000,371.1,35.23
622000,343.87,34.33
623000,334.35,34.27
624000,346.3,34.59
625000,343.9,34.21
626000,306.54,33.08
627000,281.35,31.01
628000,297.21,32.25
629000,306.62,31.97
630000,315.06,31.56
631000,331.06,31.09
632000,331.91,29.28
633000,345.61,29.24
634000,345.55,28.81
635000,349.55,29.22
636000,354.92,29.78
637000,350.59,29.12
638000,360.4,28.74
639000,369.14,28.14
640000,331.48,26.18
641000,342.08,27.3
642000,345.53,28.29
643000,346.76,29.94
644000,322.03,29.65
645000,323.78,34.39
646000,292.49,34.02
647000,277.57,33.88
648000,279.67,34.44
649000,276.68,35.1
650000,269.26,35.13
651000,258.54,35.66
652000,259.69,37.3
653000,268.88,38.5
654000,288.2,40.83
655000,279.1,40.26
656000,283.41,41.0
657000,294.52,42.77
658000,304.32,42.24
659000,316.77,42.48
660000,315.4,39.45
661000,330.75,39.36
662000,347.91,39.91
663000,357.55,40.18
664000,362.06,40.98
665000,369.39,40.48
666000,361.42,39.16
667000,368.19,38.96
668000,372.64,38.55
669000,387.53,37.9
670000,396.17,38.69
671000,410.03,38.73
672000,387.27,35.99
673000,370.33,36.03
674000,355.45,34.09
675000,348.64,33.66
676000,337.18,35.91
677000,308.31,35.33
678000,289.94,33.41
679000,271.35,34.44
680000,277.3,35.28
681000,295.36,37.12
682000,296.4,37.36
683000,297.42,38.01
684000,284.15,36.58
685000,249.45,33.53
686000,267.19,38.25
687000,278.67,38.45
688000,293.35,38.68
689000,259.27,35.03
690000,268.94,35.46
691000,273.29,36.61
692000,255.02,35.36
693000,266.73,36.27
